"","V1","V2","V3","V4","V5"
"1","arrivals_user","mean before","mean after","F value","p value"
"2","tutumcloud","6.47826086956522","6.82608695652174","0.109503810857054","0.742280522561238"
"3","ansible","58.1071428571429","71.1071428571429","7.44746955345061","0.00855654305172281"
"4","spree","6.625","3.96875","12.7150156116946","0.000705595166483116"
"5","sequenceiq","1.86486486486486","2.91891891891892","9.07457739476303","0.00357480502382146"
"6","thinkaurelius","2.46153846153846","2.5","0.0147526757304011","0.903565186841068"
"7","feedhenry","0.0961538461538462","0.423076923076923","8.53445280833818","0.00429107746848889"
"8","Elgg","0","0.384615384615385","14.9122807017546","0.000197919779329961"
"9","wiredtiger","0.269230769230769","0.25","0.035051546391749","0.851859592683558"
"10","ceph","0.557692307692308","2.01923076923077","30.1634241245136","2.92537963325731e-07"
"11","eucalyptus","0.0961538461538462","0.211538461538462","2.67638483965015","0.104928852337206"
"12","gluster","0.0192307692307692","0.0769230769230769","1.88888888888889","0.172339513623977"
"13","fusesource","0","0","NaN","NaN"
"14","NuCivic","0.634615384615385","0.942307692307692","2.70310559006211","0.103231816191085"
"15","pydata","9.05769230769231","13.3076923076923","32.5440755693175","1.14563854317293e-07"
"16","pentaho","1.34615384615385","1.5","0.519745222929943","0.472599512701073"
"17","rabbitmq","0","0.0961538461538462","5.4255319148936","0.0218157522035443"
