"","V1","V2","V3","V4","V5"
"1","departures_user","mean before","mean after","F value","p value"
"2","tutumcloud","6.30434782608696","2.91304347826087","11.0490341753343","0.00179494318645598"
"3","ansible","57.7142857142857","41.5714285714286","3.07149475259698","0.0853523892548505"
"4","spree","7.625","2.4375","45.4477548414556","6.01225126677658e-09"
"5","sequenceiq","1.64864864864865","2.08108108108108","1.23804406233208","0.269549552325131"
"6","thinkaurelius","2.42307692307692","2.67307692307692","0.59167982426031","0.443547837955681"
"7","feedhenry","0.0769230769230769","0.346153846153846","6.99999999999998","0.00944155775129131"
"8","Elgg","0","0.346153846153846","16.0739299610895","0.000116137234033845"
"9","wiredtiger","0.230769230769231","0.269230769230769","0.142857142857143","0.706242399292209"
"10","ceph","0.480769230769231","1.73076923076923","29.7658516369664","3.42747363925379e-07"
"11","eucalyptus","0.0961538461538462","0.153846153846154","0.664254703328509","0.416960824525482"
"12","gluster","0.0192307692307692","0.0576923076923077","1.03030303030303","0.312489200724388"
"13","fusesource","0","0","NaN","NaN"
"14","NuCivic","0.5","0.903846153846154","5.72727272727271","0.0185321450346864"
"15","pydata","8.76923076923077","13.7115384615385","41.3683299151387","4.13242063740343e-09"
"16","pentaho","1.23076923076923","1.55769230769231","2.24851258581236","0.136831757347864"
"17","rabbitmq","0","0.0769230769230769","4.25000000000001","0.0417933820094007"
