"","V1","V2","V3","V4","V5"
"1","departures","mean before","mean after","F value","p value"
"2","tutumcloud","8.1304347826087","3.73913043478261","11.3058942065491","0.00160775787922558"
"3","ansible","73.1785714285714","52.5714285714286","3.18721685745234","0.0798328942601846"
"4","spree","11.40625","3.625","59.5148165350673","1.2382843418559e-10"
"5","sequenceiq","2.13513513513514","2.59459459459459","0.945990180032733","0.33399838336601"
"6","thinkaurelius","2.71153846153846","2.90384615384615","0.315164998146085","0.575759264434258"
"7","feedhenry","0.288461538461538","0.634615384615385","4.90909090909092","0.028938584444774"
"8","Elgg","0.0961538461538462","0.5","12.9036144578312","0.000506521566173891"
"9","wiredtiger","0.25","0.403846153846154","1.73064687168611","0.191277696440197"
"10","ceph","2.28846153846154","5.94230769230769","47.6204024623663","4.47423041287257e-10"
"11","eucalyptus","0.673076923076923","0.826923076923077","0.838212634822807","0.362067870875667"
"12","gluster","0.384615384615385","0.557692307692308","1.25830033505938","0.264606864472779"
"13","fusesource","0.269230769230769","0.346153846153846","0.603550295857987","0.439024587166075"
"14","NuCivic","0.903846153846154","1.65384615384615","8.6584440227704","0.00403022530405703"
"15","pydata","10.8269230769231","17.4423076923077","49.6776254053964","2.19974498893818e-10"
"16","pentaho","1.86538461538462","2.61538461538462","7.5968073646068","0.00692777625106865"
"17","rabbitmq","0.25","0.365384615384615","0.986036519871095","0.323062844560159"
