"","V1","V2","V3","V4","V5"
"1","arrivals","mean before","mean after","F value","p value"
"2","tutumcloud","8.1304347826087","8.08695652173913","0.00135785705468463","0.970771992540794"
"3","ansible","72.25","81.2142857142857","3.05588900526194","0.0861286288157915"
"4","spree","8.5625","5.40625","13.2898087833578","0.000547676266397439"
"5","sequenceiq","2.43243243243243","3.59459459459459","7.31311799604484","0.00853665180909374"
"6","thinkaurelius","2.73076923076923","2.75","0.00326944034873962","0.954514452656606"
"7","feedhenry","0.365384615384615","0.846153846153846","6.2025685931115","0.014370935984539"
"8","Elgg","0.0769230769230769","0.769230769230769","21.5718015665795","1.01951690333407e-05"
"9","wiredtiger","0.346153846153846","0.384615384615385","0.0932358318098704","0.760725322835337"
"10","ceph","3.17307692307692","7.03846153846154","47.7763581978808","4.23824796089432e-10"
"11","eucalyptus","0.576923076923077","0.673076923076923","0.359864521591873","0.549911848830305"
"12","gluster","0.615384615384615","0.673076923076923","0.110682421027249","0.740051333796833"
"13","fusesource","0.365384615384615","0.423076923076923","0.240188383045527","0.625122603781055"
"14","NuCivic","1.26923076923077","1.61538461538462","1.53854748603352","0.217679810348724"
"15","pydata","11.5384615384615","16.6730769230769","34.3347309969686","5.72862539772364e-08"
"16","pentaho","2.44230769230769","2.44230769230769","7.74721937730011e-30","0.999999999999998"
"17","rabbitmq","0.269230769230769","0.673076923076923","7.7689119170984","0.00634055870598002"
