"","V1","V2","V3","V4","V5"
"1","non_technical_contributions","mean before","mean after","F value","p value"
"2","tutumcloud","46.4347826086956","29.0434782608696","8.5153736362097","0.00552921091699121"
"3","ansible","713.964285714286","844.535714285714","4.2683702533431","0.0436396256525534"
"4","spree","114.9375","70","11.2235566098058","0.00137872877809343"
"5","sequenceiq","64.3243243243243","95.1081081081081","13.8442436638506","0.000390692977363463"
"6","thinkaurelius","25.8461538461538","24.8846153846154","0.0656892788914349","0.798236028344286"
"7","feedhenry","6.48076923076923","17.1923076923077","24.0291626612238","3.58754821893466e-06"
"8","Elgg","0.269230769230769","8.13461538461539","36.8493773729155","2.20096115798327e-08"
"9","wiredtiger","68.1923076923077","67.9807692307692","0.000965347150317424","0.97527440016099"
"10","ceph","106.307692307692","330.057692307692","74.3536546830404","8.94464538977881e-14"
"11","eucalyptus","57.4230769230769","40.2884615384615","8.59213761195126","0.00416761143478562"
"12","gluster","0.307692307692308","0.615384615384615","1.01492537313433","0.316109694890409"
"13","fusesource","0","0","NaN","NaN"
"14","NuCivic","21","66.7307692307692","45.6448710132623","8.93460718375503e-10"
"15","pydata","475","356.288461538462","27.6694336635964","7.97336669289701e-07"
"16","pentaho","135.288461538462","175.923076923077","11.6779487288371","0.000909703987956993"
"17","rabbitmq","0","0.634615384615385","10.8921357128849","0.00133120812855601"
