"","V1","V2","V3","V4","V5"
"1","all_contributions","mean before","mean after","F value","p value"
"2","tutumcloud","89.3478260869565","40.1304347826087","17.1923710693895","0.000151521615721507"
"3","ansible","925.642857142857","1017.10714285714","1.43605723956524","0.236011428613086"
"4","spree","143.71875","95.875","6.91232453610675","0.0107797445944949"
"5","sequenceiq","178.189189189189","163.918918918919","0.79218516828192","0.37640456627422"
"6","thinkaurelius","53.3653846153846","33.5769230769231","12.3674423291632","0.000653617410707604"
"7","feedhenry","34.7115384615385","32.4230769230769","0.195793353591935","0.659074857971433"
"8","Elgg","226","158.942307692308","3.94388939747992","0.0497254883692986"
"9","wiredtiger","129.865384615385","138.807692307692","0.689002606250817","0.408442395869288"
"10","ceph","537.365384615385","712.442307692308","21.5564380142963","1.0262765429298e-05"
"11","eucalyptus","236.019230769231","160.384615384615","20.6041937862534","1.54882793898709e-05"
"12","gluster","75.1538461538462","45.1538461538462","15.3439132507433","0.000162216857497486"
"13","fusesource","103.557692307692","80.9038461538462","3.98223465333085","0.0486490110235499"
"14","NuCivic","52.9423076923077","111.538461538462","32.3515760929609","1.23500613680222e-07"
"15","pydata","525.288461538462","394","26.813596395023","1.13051403116125e-06"
"16","pentaho","294.615384615385","350.942307692308","5.5747015341699","0.0201220854093024"
"17","rabbitmq","69.6730769230769","159.019230769231","80.8546750238081","1.37992384898522e-14"
