"","V1","V2","V3","V4","V5"
"1","technical_contributions","mean before","mean after","F value","p value"
"2","tutumcloud","42.9130434782609","11.0869565217391","22.0710955667312","2.59634001564134e-05"
"3","ansible","211.678571428571","172.571428571429","4.48288327035808","0.0388576491299425"
"4","spree","28.78125","25.875","0.290655560168809","0.591731521937408"
"5","sequenceiq","113.864864864865","68.8108108108108","18.2665884682396","5.79417107939228e-05"
"6","thinkaurelius","27.5192307692308","8.69230769230769","31.1343285008093","1.99140067435511e-07"
"7","feedhenry","28.2307692307692","15.2307692307692","12.2722435894736","0.00068401649071025"
"8","Elgg","225.730769230769","150.807692307692","4.88324499347916","0.0293541816656824"
"9","wiredtiger","61.6730769230769","70.8269230769231","2.72879086499974","0.101629222069341"
"10","ceph","431.057692307692","382.384615384615","4.769903330708","0.031252750454102"
"11","eucalyptus","178.596153846154","120.096153846154","22.1568102588882","7.93292583548122e-06"
"12","gluster","74.8461538461538","44.5384615384615","15.6949675030207","0.000138087442832662"
"13","fusesource","103.557692307692","80.9038461538462","3.98223465333085","0.0486490110235499"
"14","NuCivic","31.9423076923077","44.8076923076923","8.15249598993653","0.00521026631752202"
"15","pydata","50.2884615384615","37.7115384615385","9.62899940760962","0.00247826983286419"
"16","pentaho","159.326923076923","175.019230769231","1.00521602254615","0.318424249977501"
"17","rabbitmq","69.6730769230769","158.384615384615","80.642350325592","1.46519132023798e-14"
